city,country,lng,lat
's-Heerenberg,Netherlands,6.244592,51.874128000000006
's-Hertogenbosch,Netherlands,5.283178111764705,51.691532529411774
A Coruña,Spain,-8.358859999999998,43.3583155
A-Burg,Germany,9.10596811111111,49.943777555555556
Aabenraa,Denmark,9.416223,55.03997
Aachen,Germany,6.090199046511627,50.771962209302316
Aalborg,Denmark,9.928318366666666,57.062569493333335
Aalen,Germany,10.08730375,48.84177975
Aalsmeer,Netherlands,4.780021,52.255958
Aalst,Belgium,4.051574,50.94402066666667
Aalter,Belgium,,
Aarau,Switzerland,8.058721083333333,47.39436708333333
Aarhus,Denmark,10.183662885714286,56.164339142857145
Aarschot,Belgium,,
Aartselaar,Belgium,4.393584,51.148624
Aba,Nigeria,7.387904666666667,5.370827333333334
Abadiño,Spain,,
Abakaliki,Nigeria,8.093804999999998,6.327202333333333
Abakan,Russia,91.37542166666667,53.73728033333333
Abancay,Peru,-72.880504,-13.6341035
Abano Terme,Italy,11.8022445,45.35359750000001
Abashiri,Japan,144.239583,43.996724
Abbeville,United States,-92.13158299999999,29.975034
Abbiategrasso,Italy,8.930135,45.399392
Abbotsford,Australia,145.00757,-37.809073
Abbotsford,Canada,-122.32339340000001,49.0614567
Abbottabad,Pakistan,73.24787966666666,34.197544333333326
Abeokuta,Nigeria,3.3993168333333337,7.081767666666667
Abepura,Indonesia,140.657144,-2.604861
Abercynon,United Kingdom,-3.328546,51.641975
Aberdare,United Kingdom,-3.4992294999999998,51.7292865
Aberdeen,United Kingdom,-2.116237303030303,56.88591036363637
Aberdeen,United States,-95.30145599999999,43.739827
Aberdeen Proving Ground,United States,-76.20457366666666,39.45367433333333
Abergavenny,United Kingdom,-3.02022,51.826899499999996
Aberystwyth,United Kingdom,-4.0675324999999996,52.41470866666668
Abhā,Saudi Arabia,42.542086499999996,18.224641
Abidjan,Ivory Coast,-4.000877480645161,5.33487580967742
Abiko,Japan,140.0343,35.87344233333333
Abilene,United States,-99.38144071428572,33.37730885714286
Abingdon,United Kingdom,-1.2745681666666668,51.642602
Abingdon,United States,-81.95649700000001,36.711105
Abisko,Sweden,18.815755,68.354363
Abomey-Calavi,Benin,2.3514705,6.450914
Aborlan,Philippines,118.55887,9.443685
Abraka,Nigeria,6.0987,5.7917
Absam,Austria,11.517689,47.304386
Absecon,United States,-74.509265,39.417024
Abu Dhabi,United Arab Emirates,54.53722155555556,24.47649777777778
Abudwak,Somalia,46.223694,6.244861
Abuja,Nigeria,9.385777791666662,8.902778875
Aburi,Ghana,-0.088867,5.894051999999999
Abéché,Chad,20.819869,13.81812
Acapulco de Juárez,Mexico,-99.790725,16.990357
Accokeek,United States,-77.0360645,38.6776775
Accomac,United States,-75.750754,37.640726
Accra,Ghana,-0.20523914857142853,5.604894544285717
Accrington,United Kingdom,-2.3611185,53.7548505
Acharnes,Greece,23.7541455,38.1151495
Achern,Germany,8.039899,48.636505
Achim,Germany,9.055297999999999,53.010521
Ackerman,United States,-89.17286700000001,33.311007000000004
Ackley,United States,-93.052304,42.554235
Acquarossa,Switzerland,8.939979,46.530007
Acquaviva delle Fonti,Italy,16.803145999999998,40.863555
Acre,Israel,35.080559,32.939201499999996
Acton,Australia,149.5319212,-34.99867300000001
Acton,United States,-71.422223,42.522331
Ad Douiem,Sudan,32.305738,14.012637
Ad Dīwānīyah,Iraq,44.911265,32.009783
Ad-Damazin,Sudan,34.345062,11.786738
Ada,United States,-90.244811,37.770672000000005
Adamantina,Brazil,-51.0719155,-21.6863195
Adams,United States,-89.818149,43.963767
Adamstown,United States,-77.475363,39.311541999999996
Adamsville,United States,-86.931248,33.586334
Adana,Turkey,35.31905820000001,37.0156382
Adapazarı,Turkey,30.3628505,40.760709
Addingham,United Kingdom,,
Addis Ababa,Ethiopia,38.760569310344835,9.00855369310345
Addison,United States,-94.63308699999999,35.19703025
Addlestone,United Kingdom,-0.4913345,51.3619675
Adel,United States,-94.060414,41.713837
Adelaide,Australia,135.376275768116,-33.77599452753624
Adelaide,South Africa,26.294101,-32.7002
Adelanto,United States,,
Adelphi,United States,-76.9403048,38.995349600000004
Aden,Yemen,45.039156,12.812024000000001
Adilabad,India,77.953464,18.880254
Adjlun,Jordan,35.822739,32.397664
Ado-Ekiti,Nigeria,5.283697,7.639063666666666
Adrar,Algeria,-0.28665300000000005,27.891243
Adria,Italy,12.055792,45.058309
Adrian,United States,-84.02946460000001,41.9149178
Adıyaman,Turkey,38.231667,37.743889
Adūr,India,76.706325,9.16345
Affalterbach,Germany,,
Afgooye,Somalia,,
Afula,Israel,35.3043265,32.6373495
Afyonkarahisar,Turkey,30.535490000000003,38.80833
Agadir,Morocco,-9.564369249999999,30.413929
Agadir Melloul,Morocco,-9.502365,30.341967999999998
Agago,Uganda,33.371111,3.041111
Agartala,India,91.30206083333333,23.828172499999997
Agawam,United States,-72.634656,42.052392
Agen,France,0.6309925000000001,44.2012045
Ageo,Japan,139.596194,35.937944
Agno,Switzerland,8.90445,45.998365
Agogo,Ghana,-1.0713139999999999,6.794471000000001
Agoura Hills,United States,-118.76703200000001,34.151367
Agra,India,78.014397,27.1955878
Agrate Brianza,Italy,9.348687,45.584547
Aguadilla,United States,-67.137155,18.500423
Aguascalientes,Mexico,-102.29050149999999,21.8649075
Agudos,Brazil,-48.990487,-22.438102
Ahar,Iran,47.019038,38.454943
Ahlen,Germany,7.9033945,51.7629965
Ahmedabad,India,72.56294960810808,23.054720270270273
Ahmednagar,India,74.581294,19.380905
Ahoskie,United States,-77.022837,36.325439
Ahrensburg,Germany,10.236599,53.675987
Ahvāz,Iran,48.64834775,31.309127750000002
Aichach,Germany,11.13498,48.447983
Aigio,Greece,,
Aigle,Switzerland,6.942158,46.303785
Aigáleo,Greece,23.671999999999997,37.978
Aiken,United States,-81.74036559999999,33.5637396
Ainring,Germany,12.943988000000001,47.810867
Airdrie,United Kingdom,-3.9984260000000003,55.86639
Airport City,Israel,34.912187,31.986452000000003
Aix-en-Provence,France,5.411522993750001,43.514202725000004
Aizawl,India,92.70854433333334,23.755859333333333
Ajalvir,Spain,-3.48411,40.530412
Ajax,Canada,-79.027138,43.833288
Ajdovščina,Slovenia,13.8485656,45.9013402
Ajman,United Arab Emirates,55.479758600000004,25.398629800000002
Ajmer,India,74.7036055,26.499611166666668
Ajo,United States,-112.866175,32.372028
Akademgorodok,Russia,92.765065,55.988038
Akashi,Japan,134.94946042857143,34.67371971428571
Akhalts'ikhe,Georgia,43.011309000000004,41.639091
Akita,Japan,140.14658395238098,39.710673523809525
Akobo,South Sudan,33.000006,7.775947
Akola,India,76.870672,20.710538666666668
Akron,United States,-81.54243741666669,41.08948958333334
Akropong,Ghana,-0.089007,5.98082
Aksaray,Turkey,33.9761,38.326
Aksay,Russia,39.878188,47.355726000000004
Aksum,Ethiopia,38.40784,14.132438
Aktau,Kazakhstan,51.169226,43.681148
Aktobe,Kazakhstan,57.175976999999996,50.291746999999994
Akure,Nigeria,5.110679666666667,7.318846
Akureyri,Iceland,-18.1154206,65.68414800000001
Al Ain,United Arab Emirates,55.71238900000001,24.214628599999998
Al Bahah,Saudi Arabia,41.483608000000004,19.994839000000002
Al Bayḑā’,Libya,21.711956,32.759584000000004
Al Bukayrīyah,Saudi Arabia,43.731889,26.14174
Al Farwānīyah,Kuwait,48.030499,29.321696000000003
Al Fayyum,Egypt,30.835556,29.321111
Al Fūlah,Sudan,28.434071000000003,12.692215
Al Hillah,Iraq,44.397886,32.393867
Al Hudaydah,Yemen,42.957642,14.771567000000001
Al Hufūf,Saudi Arabia,49.577126500000006,25.3518685
Al Jahra,Kuwait,47.677209000000005,29.336637
Al Jubayhah,Jordan,35.896578999999996,31.989373999999998
Al Kharj,Saudi Arabia,47.271363,24.147241
Al Khums,Libya,13.907088,32.577906
Al Mafraq,Jordan,36.219,32.361
Al Mansurah,Egypt,31.393820249999997,31.14171375
Al Muharraq,Bahrain,50.598916,26.262105499999997
Al Qadmūs,Syria,36.187377000000005,35.098739
Al Qaţīf,Saudi Arabia,49.968219,26.524853000000004
Al Rayyan,Qatar,51.378802750000006,25.3167155
Al'met'yevsk,Russia,52.285865,54.896405
Al-Fashir,Sudan,25.32193,13.628407000000001
Al-Ubayyid,Sudan,30.237586999999998,13.205167999999999
Alabama,United States,-86.203454,32.3502735
Alabaster,United States,-86.81849414999999,33.24851015
Alachua,United States,-82.47651369230768,29.78248916923076
Alajuela,Costa Rica,-84.2769,10.0028
Alameda,United States,-122.26805358333331,37.769316999999994
Alamogordo,United States,-105.925919,32.920423
Alamosa,United States,-105.880496,37.471042
Alanya,Turkey,32.031918,36.548367
Alappuzha,India,76.34853299999999,9.408277
Alba Iulia,Romania,23.572409,46.069584000000006
Albacete,Spain,-1.82792946,38.89623346
Albano Laziale,Italy,12.664863,41.730990000000006
Albany,United States,-79.07909580340906,41.64578102613637
Albemarle,United States,-80.236734,35.339706
Albergaria-a-Velha,Portugal,-8.667112,40.604991999999996
Alberton,United States,-114.46446100000001,46.920711
Albertslund Municipality,Denmark,12.360769999999999,55.6618615
Albertson,United States,-73.6578785,40.7691105
Albi,France,2.142871385714286,43.92375267142857
Albion,United States,-84.746156,42.244541
Albizzate,Italy,,
Albrechtice,Czechia,18.516273,49.784886
Albstadt,Germany,9.0243114,48.2157668
Albufeira,Portugal,-8.314269,37.127095000000004
Albuquerque,United States,-106.51818025925928,35.12092907407407
Albury,Australia,146.937203,-36.073910999999995
Alcabideche,Portugal,-9.4046155,38.7338795
Alcalá de Henares,Spain,-3.35465925,40.50428275
Alcanena,Portugal,-8.668505,39.502393
Alcantarilla,Spain,-1.206512,37.973423
Alcester,United Kingdom,-1.8773830000000002,52.216708000000004
Alchevs'k,Ukraine,38.804125,48.471261
Alcobendas,Spain,-3.6369551428571425,40.52787742857142
Alcochete,Portugal,,
Alcorcón,Spain,-3.829371,40.345034999999996
Alcoy,Spain,-0.4709245,38.701469
Alcácer do Sal,Portugal,-8.551383,38.372389
Aldeburgh,United Kingdom,1.595533,52.152413
Aldeia de Paio Pires,Portugal,,
Aldergrove,Canada,-122.46638600000001,49.058091
Alderley Edge,United Kingdom,-2.236777,53.27044
Aldershot,United Kingdom,-0.7418403333333333,51.259802666666666
Aldrans,Austria,11.458046000000001,47.244788
Aledo,United States,-90.752279,41.207738
Aleppo,Syria,37.0879415,36.335378
Alessandria,Italy,8.6171294,44.9163778
Alexander City,United States,-85.94555799999999,32.925276000000004
Alexandria,Australia,151.204746,-33.910577
Alexandria,Egypt,29.96335613333333,31.098120400000003
Alexandria,Romania,,
Alexandria,United Kingdom,-4.590681,55.993030000000005
Alexandria,United States,-77.91081040170943,38.65871323076925
Alexandria Bay,United States,-77.978484,43.326827
Alexandroupoli,Greece,25.877823,40.8470515
Alfdorf,Germany,9.735941,48.844638
Alfenas,Brazil,-44.9568905,-20.609749
Alfianello,Italy,10.172089,45.281214
Alfortville,France,2.422625,48.812615
Alfred,United States,-77.7911125,42.2553945
Alfter,Germany,7.026973,50.745778
Algarrobo,Spain,-4.043501999999999,36.75712
Algiers,Algeria,3.048711217391305,36.74263886956522
Algonquin,United States,-88.365953,42.172855
Alguazas,Spain,,
Algés,Portugal,-9.2272395,38.715458
Alhambra,United States,-118.14568999999999,34.082456
Aliabad-e Katul,Iran,54.858813,36.909028
Alicante,Spain,-1.9835819230769227,37.45144630769231
Alice,South Africa,26.8475055,-32.780919
Alice,United States,-98.018478,27.782629999999997
Alice Springs,Australia,133.87591880000002,-23.6959728
Alice Town,Bahamas,-79.27629300000001,25.7025
Aligarh,India,78.02060166666666,27.826312
Alingsås,Sweden,12.544103999999999,57.924877
Aliquippa,United States,-80.251324,40.613901
Aliso Viejo,United States,-117.7284727,33.582149900000005
Aliwal North,South Africa,26.700662,-30.69435
Aljustrel,Portugal,,
Alkersum,Germany,8.502778999999999,54.729569999999995
Alkmaar,Netherlands,4.84185757142857,52.5113458
Allahabad,India,81.8665977,25.443972999999996
Allambie Heights,Australia,151.243273,-33.757385
Allauch,France,5.479873,43.326239
Allegan,United States,-85.834775,42.526641999999995
Allen,United States,-96.671137,33.106215999999996
Allen Park,United States,-83.198698,42.267953999999996
Allendale,United States,-83.59349950000001,37.987885000000006
Allendorf,Germany,8.6713845,51.025587
Allensbach,Germany,9.074526,47.71629299999999
Allentown,United States,-75.42270293749999,40.5647740625
Allevard,France,6.074799,45.391988
Alliance,United States,-81.106446,40.911789
Allison Park,United States,,
Alloa,United Kingdom,-3.3787279999999997,56.2927075
Allschwil,Switzerland,7.5463700000000005,47.558536000000004
Allègre,France,3.7155164,45.204568
Alma,Canada,-71.65218033333333,48.54769233333334
